id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
3d188ab4-e4ac-4bb2-a4d3-da1cbae4527c,21,KLIMA- UND ENERGIEFONDS,ÖSTERREICH,The Climate and Energy Fund provides crucial financial support for national renewable energy and PV projects.,8.0,96,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
1135fa09-924a-4fd4-ad10-3895fb2dee28,22,BMK,ÖSTERREICH,"BMK, or the Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology, is Austria’s government ministry responsible for comprehensive climate, energy, and technology initiatives. It oversees the development and implementation of policies and funding related to energy, environment, and climate action in Austria. BMK plays a central role in managing and financing the country’s transition to sustainable energy solutions, ensuring that Austria’s national climate and energy transformation goals are met. Through strategic leadership, financial support, and regulatory oversight, BMK drives Austria's efforts toward environmental sustainability and the advancement of innovative technologies critical for the nation’s future.",27.0,98,"['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 '7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052']"
6d4c7e21-a571-4dd2-93a4-349709ed1664,23,BMK,KLIMA- UND ENERGIEFONDS,BMK provides or allocates financial resources through the Climate and Energy Fund.,7.0,30,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
7f955d99-4df9-40cf-87cc-2c070a88db49,24,ERNEUERBAREN-AUSBAU-GESETZ (EAG),ÖKOSTROMANLAGEN,The EAG supports and incentivizes green electricity plants through a modernized support system.,9.0,6,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
3a9a1d29-c2f0-445c-b9fc-212a1b4c23c9,25,ÖSTERREICH,KLIMABONUS,The Klimabonus is paid to Austrian households as compensation for carbon pricing policies.,1.0,83,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
698c146f-ef83-4e16-85bf-c1ffc812d7d1,26,BUND,ÖSTERREICH,The Bund operates at the federal level within Austria to coordinate and promote national energy policies and the PV strategy.,8.0,96,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
945a5167-4938-440a-bd92-21b12dc32e4f,27,LAND,ÖSTERREICH,Land entities represent the various Austrian states involved in implementing the PV strategy and energy infrastructure development.,8.0,84,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
fc9dc79a-d096-49c9-b8c3-1e14e447409f,28,GEMEINDE,ÖSTERREICH,"In Austria, ""Gemeinden,"" or municipalities, function as local authorities operating under both national and state direction. They play a crucial role in implementing Austria’s renewable energy targets and permitting energy installations. As key administrative units, Gemeinden are directly responsible for enacting local-level measures that support Austria’s overall energy and photovoltaic (PV) strategies. Their duties include facilitating the approval and establishment of renewable energy projects, ensuring the country’s ambitious energy goals are achieved efficiently and in accordance with governmental policies. This local involvement makes Gemeinden vital contributors to Austria’s broader transition to sustainable energy.",16.0,85,"['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912']"
7cdc3a21-2eca-4a5b-9542-80e5391805ba,29,E-CONTROL,ÖSTERREICH,"E-Control is Austria’s national regulatory authority responsible for overseeing the country’s energy market reforms. Serving as Austria’s official energy regulator, E-Control plays a pivotal role in guiding the nation’s transition toward renewable energy sources, with a particular focus on the adoption and integration of photovoltaics. As a key actor in Austria’s energy sector, E-Control ensures the effective implementation of reforms and supports policy initiatives that drive the shift toward sustainable and renewable energy within the country.",18.0,93,"['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5']"
88437e9d-3dc0-4c01-b9de-3302b73a2c30,30,WISSENSCHAFT,ÖSTERREICH,Austria’s scientific institutions contribute research and innovation to support the national photovoltaic and energy transition efforts.,7.0,87,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
71d719f3-f639-4f2c-ac86-17e912830231,31,WIRTSCHAFT,ÖSTERREICH,"WIRTSCHAFT and ÖSTERREICH are closely interconnected in the context of Austria's energy transition, particularly regarding the adoption of photovoltaics (PV) and other renewable energy sources. The economic sector, encompassing businesses and industries in Austria, plays a pivotal role as a driver of investment, innovation, and job creation throughout the country's transition toward sustainable energy. The Wirtschaft, or economy, is deeply impacted by the Energiewende (energy transition) and is actively involved in fostering growth and pioneering new technological developments to support this transformative process. Through their engagement, Austrian businesses contribute significantly to innovation, aiding both the advancement of the PV sector and the broader shift to clean energy. Their commitment to investing in and developing new solutions helps to ensure the success of Austria's energy transition, reinforcing the nation's leadership in sustainability while simultaneously creating economic opportunities and employment.",15.0,87,"['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e']"
4038a6ae-4904-4835-921f-3bff64e46c93,32,INTERESSENSVERTRETUNGEN,ÖSTERREICH,Stakeholder and advocacy groups help shape policy and public acceptance for Austria’s PV and energy transition process.,6.0,86,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
5b129e67-b9de-4a19-8bbf-d5e891500e45,33,BUND,LAND,Cooperation between the federal and state levels is fundamental for effective implementation of Austria’s PV and energy strategy.,7.0,16,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
d8107068-6800-4bb1-b079-0c5b4c466a2d,34,BUND,GEMEINDE,The Bund (federal government) works with municipal (Gemeinde) governments to realize energy and PV strategy at the local level.,7.0,17,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
5c627711-1b66-4558-b181-d8d471cf8c49,35,BUND,E-CONTROL,The federal government (Bund) coordinates with E-Control for regulatory and policy implementation in the energy sector.,7.0,25,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
2e8c95f1-27da-44eb-9a47-68bc643da895,36,BUND,WISSENSCHAFT,The federal level (Bund) works with scientific organizations (Wissenschaft) to support research and innovation.,6.0,19,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
4076207c-44d8-4f8c-a19a-1b2f41fb9a29,37,BUND,WIRTSCHAFT,The federal government supports economic actors and the PV sector in Austria’s transition.,6.0,19,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
8e0cd308-a293-41ea-8566-404d211f23c2,38,BUND,INTERESSENSVERTRETUNGEN,The federal government cooperates with interest groups to facilitate the PV and energy transition.,6.0,18,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
79802433-ef12-4626-bff8-c5a955bdd025,39,E-CONTROL,WISSENSCHAFT,E-Control relies on scientific input for regulation and fostering innovation in the energy sector.,5.0,16,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
edeff329-4182-4b24-b5a3-83d246856d0a,40,WISSENSCHAFT,WIRTSCHAFT,Cooperation between science and industry is encouraged for developing and commercializing PV technologies.,1.0,10,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72']
24849e4c-2a08-4488-a50b-c615bf791303,41,KLIMABONUS,ÖSTERREICH,Der Klimabonus ist ein nationales Instrument zur Abfederung der CO₂-Bepreisung für österreichische Haushalte.,8.0,83,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e']
b823f295-60ae-41f3-b469-5b113445ee92,42,PHOTOVOLTAIK-STRATEGIE,ÖSTERREICH,Die Photovoltaik-Strategie bildet den Rahmen für den Ausbau erneuerbarer Energien in Österreich.,10.0,88,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e']
9820f182-ac6f-4f76-8d44-de00a3bff65d,43,INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (NIP),PHOTOVOLTAIK-STRATEGIE,Die Strategie basiert auf den Potentialen und Szenarien aus dem Netzinfrastrukturplan NIP.,8.0,12,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e']
88d26b53-3deb-4a8c-8be9-5ff49428af68,44,E-CONTROL,PHOTOVOLTAIK-STRATEGIE,E-Control ist als wichtige Akteurin bei der Umsetzung der Photovoltaik-Strategie eingebunden.,7.0,17,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e']
2f526ff3-4e27-4a5d-851d-0f8550b089c8,45,EU-EMISSIONSHANDEL,ÖSTERREICH,Der EU-Emissionshandel betrifft bestimmte Sektoren in Österreich und fungiert als Referenzrahmen für die nationale CO₂-Bepreisung.,6.0,83,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e']
3ba588af-a743-458d-9c69-44d462e13088,46,ENERGIEWENDE,ÖSTERREICH,"The Energiewende is a major strategic initiative in Austria, serving as the central approach for achieving the country's ambitious climate goals and the complete decarbonization of its energy system by 2040. As a pivotal event within Austria, the Energiewende is designed to transition the nation towards climate neutrality, ensuring a sustainable, environmentally friendly energy supply in the coming decades. This comprehensive transformation involves a fundamental shift from fossil fuels to renewable energy sources and implements wide-ranging measures across various sectors. Through the Energiewende, Austria is committed to leadership in climate protection while supporting economic development and energy security.",19.0,88,"['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750']"
dca80b2c-64c0-420a-9012-e1117bab51a4,47,PHOTOVOLTAIK-STRATEGIE,ENERGIEWENDE,Die Photovoltaik-Strategie ist ein Schlüsselbestandteil für das Gelingen der österreichischen Energiewende.,9.0,12,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e']
62e72045-e4fe-4f4a-8f55-46b4b9bcbe57,48,BMK,PHOTOVOLTAIK-STRATEGIE,Das BMK verantwortet die Bereitstellung finanzieller Mittel und die Ausarbeitung von Instrumenten für die Umsetzung der Photovoltaik-Strategie.,1.0,22,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e']
200f6fc0-bd4b-48e2-9704-ec170a6a1995,49,BUNDESREGIERUNG,REGIERUNGSPROGRAMM,Die Bundesregierung ist federführend für die Entwicklung und Umsetzung des Regierungsprogramms.,9.0,4,['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e']
816efe21-4eee-47fc-9b63-942251229307,50,EUROPÄISCHE UNION,ÖSTERREICH,"Austria (ÖSTERREICH) is a member state of the European Union (EUROPÄISCHE UNION) and is therefore required to comply with EU directives and regulations, particularly in areas related to renewable energy and environmental policy. The European Union's legal requirements and programs have a direct impact on Austria's national climate policy, shaping its approach to environmental and energy legislation. Austria's participation in the EU obliges it to align its national strategies with broader European objectives for sustainability, climate protection, and renewable energy development. This relationship ensures that Austrian environmental and climate policies are closely coordinated with, and influenced by, European Union standards and initiatives.",18.0,86,"['50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912']"
