human_readable_id,title,type,description,frequency,degree,text_unit_ids,suggested_schema_type,canonical_name,keep_in_controlled_kg,record_linkage_group,review_notes
10,ERNEUERBAREN-AUSBAU-GESETZ (EAG),POLICY,"The Erneuerbaren-Ausbau-Gesetz (EAG), also known as the Renewable Expansion Act, is a law in force in Austria that serves as the legislative basis for renewable-energy expansion in the country. The EAG introduces a fundamentally modernised and market-oriented support system for renewable electricity installations, aiming to establish a long-term stable investment climate. It sets the framework for photovoltaic (PV) expansion, including provisions such as the market premium (Marktprämie) as a major financial support measure for PV deployment and investment grants for Agri-PV under certain agricultural-use conditions. The EAG also sets Austria's nationally balanced renewable electricity target for 2030.",5,10,"['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a']",,,,,
11,INTEGRIERTER ÖSTERREICHISCHER NETZINFRASTRUKTURPLAN (ÖNIP),POLICY,Policy type: plan; Jurisdiction: Austria; Status: adopted/implemented; Source meaning: the Integrated Austrian Network Infrastructure Plan (ÖNIP) determines Austria’s photovoltaic expansion potential to 2040.,1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
12,"JÄHRLICHER PV-ZUBAU — 1 GW (ÖSTERREICH, 2022)",MARKET_METRIC,"Metric: annual PV capacity expansion; Value: 1; Unit: GW; Reference year: 2022; Geographic scope: Austria; Approximate: yes; Source meaning: for the first time, Austria exceeded 1 GW of newly installed PV capacity in 2022.",1,2,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
13,"JÄHRLICHER PV-ZUBAU — 2,5 GW (ÖSTERREICH, 2023)",MARKET_METRIC,"Metric: annual PV capacity expansion; Value: 2.5; Unit: GW; Reference year: 2023; Geographic scope: Austria; Approximate: yes; Source meaning: approximately 2.5 GW of new photovoltaic capacity was added in Austria in 2023, more than doubling the 2022 figure.",1,2,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
14,ENERGIESYSTEM,INFRASTRUCTURE,"The energy system is composed of the provision, distribution, storage, and use of energy in Austria, highlighted as central to the national energy transition.",1,0,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
15,STROMVERSORGUNG,INFRASTRUCTURE,"STROMVERSORGUNG refers to the national electricity supply system in Austria, which is highlighted as a key area for renewable and photovoltaic development, and whose transformation and decarbonization are central topics in the country's strategy and policy discussions.",2,1,"['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e']",,,,,
16,ENERGIE- UND MOBILITÄTSSYSTEM,INFRASTRUCTURE,"The energy and mobility system refers to Austria’s integrated infrastructure for energy and transport, stated as needing transformation for national climate and PV goals.",1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
17,BETRIEBE UND UNTERNEHMEN,STAKEHOLDER,Businesses and enterprises in Austria are identified as major actors benefiting from and contributing to photovoltaic expansion and the energy transition.,1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
18,BÜRGER:INNEN,STAKEHOLDER,"BÜRGER:INNEN refers to Austrian citizens identified as participants and direct beneficiaries in Austria’s energy transition, particularly in the expansion of photovoltaics (PV). They are intended to take part in new market models such as energy communities and are recognized as stakeholders whose participation is facilitated by digitalization, smart energy management, and reduced barriers to active involvement. The described vision for 2040 includes citizens becoming active customers and market participants in the electricity market, with their engagement especially targeted through the development and local generation of PV.",5,5,"['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 '06c273ec9919eb4693462fdacebd50536ccdcf47bacc47b2b30c8a69005636b654b4919dc579696a4a7abbde4a00511a66f0c0be040f4ffc907fc316bee009dc'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'
 '05802f69e17001a506260c74ca400f6a1368fbf0132720e670d13ffd39c31d615ca94e0ffc071332bd317faa48542bde7970720b9f035d496136fc5d6bbb8ca5']",,,,,
19,RAHMENBEDINGUNGEN FÜR DEN PV-AUSBAU,CONSTRAINT,"Framework conditions for PV expansion encompass the legal, regulatory, and practical environment required for successful and broadly beneficial photovoltaic deployment in Austria.",1,2,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
20,ZIELSETZUNGEN FÜR DEN PV-AUSBAU,TARGET,Target: objectives for PV expansion; Target value: unspecified; Unit: n/a; Deadline: unspecified; Geographic scope: Austria; Status: planned/official; Source meaning: the explicit goals set for expanding photovoltaic capacity as part of national energy and climate policy.,1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
21,MASSNAHMEN FÜR DEN PV-AUSBAU,POLICY,Policy type: measures/action fields; Jurisdiction: Austria; Status: planned/ongoing; Source meaning: specific measures identified as necessary to coordinate and maximize the benefit of national PV expansion.,1,2,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
22,EIGENE PARTIZIPATION DER POPULATION AN DER ENERGIEWENDE,STAKEHOLDER,"Citizens taking an active role in the energy transition, described as increasingly being part of Austria’s Energiewende.",1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
23,NACHHALTIGE UND GÜNSTIGE STROMVERSORGUNG,TARGET,Target: sustainable and affordable electricity supply; Target value: unspecified; Unit: n/a; Deadline: unspecified; Geographic scope: Austria; Status: official/aspirational; Source meaning: the aim to provide a power supply that is both sustainable and economically accessible in Austria.,1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
24,ENERGIEUNABHÄNGIGKEIT ÖSTERREICHS,TARGET,Target: Austria’s energy independence; Target value: unspecified; Unit: n/a; Deadline: unspecified; Geographic scope: Austria; Status: official/aspirational; Source meaning: intended as a key benefit/outcome of expanding renewable energy in Austria.,1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
25,ARBEITSPLÄTZE DURCH PHOTOVOLTAIK,TARGET,Target: jobs created by photovoltaics; Target value: unspecified; Unit: n/a; Deadline: unspecified; Geographic scope: Austria; Status: scenario/aspirational; Source meaning: increasing employment and domestic value creation as a result of PV expansion.,1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
26,HOHE AKZEPTANZ DER PHOTOVOLTAIK,TARGET,"Target: high acceptance of photovoltaics; Target value: unspecified; Unit: n/a; Deadline: unspecified; Geographic scope: Austria; Status: official/aspirational; Source meaning: broad societal and stakeholder support, highlighted as a condition/goal in the PV vision.",1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
27,INNOVATIVE BEITRÄGE DER PHOTOVOLTAIK ZUM ENERGIESYSTEMUMBAU,TARGET,Target: innovative contribution of photovoltaics to energy system transformation; Target value: unspecified; Unit: n/a; Deadline: unspecified; Geographic scope: Austria; Status: aspirational; Source meaning: the vision of PV playing new roles in reshaping the national energy landscape.,1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
28,WIRTSCHAFTLICHER BETRIEB VON PHOTOVOLTAIK-ANLAGEN,TARGET,Target: economical operation of photovoltaic installations; Target value: unspecified; Unit: n/a; Deadline: unspecified; Geographic scope: Austria; Status: official/aspirational; Source meaning: goal for PV installations to efficiently enable affordable electricity—as part of strategic objectives.,1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
29,PARTIZIPATION DER BÜRGER:INNEN,TARGET,Target: participation of citizens; Target value: unspecified; Unit: n/a; Deadline: unspecified; Geographic scope: Austria; Status: official/aspirational; Source meaning: participation of the population as a target in the PV strategy.,1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
30,HOHE HEIMISCHE WERTSCHÖPFUNG DURCH PHOTOVOLTAIK,TARGET,Target: high domestic value creation from photovoltaics; Target value: unspecified; Unit: n/a; Deadline: unspecified; Geographic scope: Austria; Status: scenario/aspirational; Source meaning: national economic benefit from PV expansion is envisioned as a direct target in the strategy.,1,1,['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],,,,,
31,PHOTOVOLTAIK-STRATEGIE,POLICY,Policy type: strategy; Jurisdiction: Austria; Status: present in this document; Source meaning: the strategy defines action areas and measures needed for successful Austrian PV-market transformation and achievement of energy and climate targets.,1,21,['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'],,,,,
32,KLIMA- UND ENERGIEFONDS,ORGANIZATION,"The KLIMA- UND ENERGIEFONDS (Climate and Energy Fund) is an Austrian organization responsible for supporting energy communities and innovation in the solar sector through targeted funding initiatives, including programmes for storage initiatives and flagship photovoltaic (PV) projects. It commissions studies and market analysis for PV deployment, is referenced as a co-provider of PV expansion funding in 2023 under the EAG, and was responsible for launching the subsidy programme for large storage in 2023.",5,8,"['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'
 '6927535991c09031efd0df39ec21591dd3bb460da14c01bc36d343f0078b726ed44d06a0c6bb518236ea61ed8c8b15365630cf185b8012e963898f2e117f7d8a']",,,,,
33,BMK,ORGANIZATION,"BMK (Austrian Federal Ministry for Climate Action, Environment, Energy, Mobility, Innovation and Technology) is a government body credited with providing additional financial resources and significantly increasing financial resources to support Austria's energy and transport system transformation, and is involved in organizing stakeholder rounds and implementation measures for renewable connection processes.",3,3,"['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912']",,,,,
34,E-CONTROL,ORGANIZATION,"E-CONTROL, also referred to as E-Control, is the Austrian energy regulatory authority identified as the publisher or responsible party for the Aktionsplan Netzanschluss (July 2023), as well as for studies on flexibility, action plans for grid connection, and contributions to network development and system integration. E-Control is named as a key actor necessary for implementing photovoltaic (PV) expansion measures, planning and operating the electricity grid, and fulfilling other relevant roles in the Austrian PV transformation, particularly regarding grid connection and operation of renewable installations.",5,8,"['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e'
 '41bd25afdc1cce74b36dd6db5e44e91354172fda16475ab6a3f6cf99bddc720aa91cb56b5ea1b1c4774c8c97017d6bb03c52ba2676d7cfaab1c73fed8ab82912'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'
 '2d9fdebd364caf6ea226dc0ee6624e0c2d54fc65848a9cd18f9b868675333d5be302c20a6cbb1b4f9503e536f5051a60a8783cd3657ab2cf1f9daf65be366c76']",,,,,
35,WISSENSCHAFT,STAKEHOLDER,"WISSENSCHAFT, referring to science, the research community, or scientific actors, is described as a significant participant required for the successful coordination and implementation of photovoltaic-related measures and is referenced as a significant actor in the Austrian PV and energy system transformation process.",2,2,"['50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 '50e06bf07ca2ce3a4e0dc0520305a36334e339dc022e32de2a78b62769102078202b01514330a1c4939e30fdb8f4d3884f790c7814b2e95e9bdb0894b3323a4e']",,,,,
